Season,wOBA,wOBAScale,wBB,wHBP,w1B,w2B,w3B,wHR,runSB,runCS,R/PA,R/W,cFIP
2026,0.316238,1.23833,0.697798,0.728757,0.889739,1.26124,1.59559,2.0499,0.2,-0.41125,0.118239,9.80906,3.084971618652344
2025,0.313055,1.23167,0.691497,0.722289,0.882406,1.25191,1.58446,2.0374,0.2,-0.409517,0.118158,9.77398,3.1351363182067873
2024,0.310179,1.24245,0.689131,0.720192,0.881711,1.25445,1.58991,2.04961,0.2,-0.405006,0.116978,9.68263,3.166479778289795
2023,0.318375,1.20409,0.695903,0.726005,0.882536,1.24376,1.56887,2.0041,0.2,-0.422078,0.121844,10.0283,3.2550403594970705
2022,0.309746,1.25875,0.688744,0.720213,0.883851,1.26148,1.60134,2.072,0.2,-0.39718,0.114346,9.52414,3.112431001663208
2021,0.314426,1.20864,0.691717,0.721932,0.879055,1.24165,1.56798,2.00652,0.2,-0.419323,0.121056,9.97254,3.170034122467041
2020,0.319762,1.18525,0.698811,0.728443,0.882526,1.2381,1.55812,1.97912,0.2,-0.434609,0.125462,10.2821,3.191419315338135
2019,0.319937,1.15686,0.690295,0.719216,0.869607,1.21666,1.52902,1.93954,0.2,-0.435282,0.125818,10.2957,3.214009475708008
2018,0.314689,1.22581,0.68953,0.720175,0.879531,1.24727,1.57824,2.03083,0.2,-0.406578,0.116831,9.71446,3.1604315757751467
2017,0.320888,1.185,0.692994,0.722619,0.876669,1.23217,1.55212,1.97989,0.2,-0.423028,0.121871,10.0476,3.1576396942138674
2016,0.31812,1.21188,0.690612,0.720909,0.878454,1.24202,1.56923,2.01476,0.2,-0.409732,0.117804,9.77832,3.1465603828430178
2015,0.31321,1.25149,0.686843,0.71813,0.880824,1.25627,1.59417,2.06529,0.2,-0.392102,0.11244,9.42132,3.13359375
2014,0.30996,1.30383,0.689416,0.722011,0.89151,1.28266,1.63469,2.13533,0.2,-0.377061,0.107439,9.11674,3.1322521686553957
2013,0.313795,1.27681,0.690026,0.721947,0.887932,1.27097,1.61571,2.10133,0.2,-0.384331,0.109562,9.26396,3.0478543758392336
2012,0.315,1.24519,0.690534,0.721664,0.883538,1.2571,1.5933,2.05827,0.2,-0.398174,0.114112,9.54428,3.0944520950317385
2011,0.315972,1.26416,0.694396,0.726,0.890341,1.26959,1.61091,2.0858,0.2,-0.393696,0.112327,9.4536,3.0253862857818605
2010,0.320986,1.2507,0.701215,0.732482,0.895073,1.27028,1.60797,2.07196,0.2,-0.403027,0.114835,9.64255,3.077842426300049
2009,0.328664,1.21048,0.707178,0.73744,0.894801,1.25794,1.58477,2.02333,0.2,-0.420397,0.119837,9.99428,3.0970837593078615
2008,0.328345,1.21141,0.708285,0.738571,0.896054,1.25948,1.58656,2.02433,0.2,-0.422267,0.120369,10.0321,3.132018280029297
2007,0.331052,1.19172,0.711234,0.741027,0.895951,1.25347,1.57523,1.99946,0.2,-0.433037,0.123643,10.2503,3.2396051406860353
2006,0.331513,1.17049,0.708232,0.737494,0.889658,1.2408,1.55684,1.9702,0.2,-0.438694,0.125479,10.3648,3.1467477798461916
2005,0.325883,1.2077,0.702844,0.733037,0.890038,1.25235,1.57843,2.01666,0.2,-0.419264,0.119843,9.97134,3.0200311660766603
2004,0.330155,1.18026,0.707325,0.736831,0.890265,1.24434,1.56302,1.98252,0.2,-0.434128,0.123985,10.2723,3.0492693901062013
2003,0.327808,1.19409,0.706034,0.735886,0.891118,1.24935,1.57175,1.99954,0.2,-0.428494,0.122583,10.1583,3.0315219879150392
2002,0.325912,1.21072,0.704413,0.73468,0.892074,1.25529,1.58218,2.02091,0.2,-0.420251,0.120076,9.99133,2.9620744705200197
2001,0.327182,1.18218,0.703877,0.733431,0.887115,1.24177,1.56096,1.98224,0.2,-0.432287,0.124085,10.2351,3.049136829376221
2000,0.340686,1.14736,0.722161,0.750845,0.900001,1.24421,1.554,1.94699,0.2,-0.45996,0.131259,10.7954,3.1341678619384767
1999,0.340663,1.15619,0.722745,0.75165,0.901955,1.24881,1.56098,1.95933,0.2,-0.455934,0.130175,10.7139,3.133854103088379
1998,0.331326,1.1967,0.712555,0.742473,0.898043,1.25705,1.58016,2.0067,0.2,-0.432137,0.123751,10.232,3.139152240753174
1997,0.332342,1.20063,0.714158,0.744173,0.900255,1.26044,1.58461,2.01322,0.2,-0.431029,0.123091,10.2096,3.1092116355896
1996,0.335381,1.17101,0.71904,0.748315,0.900546,1.25185,1.56802,1.97479,0.2,-0.450263,0.128813,10.5991,3.1715728759765627
1995,0.333093,1.19854,0.717698,0.747661,0.903472,1.26303,1.58664,2.01105,0.2,-0.43679,0.124793,10.3262,3.1032969474792482
1994,0.333249,1.18199,0.715832,0.745382,0.89904,1.25364,1.57277,1.98803,0.2,-0.442355,0.126551,10.4389,3.130971622467041
1993,0.326531,1.24047,0.713172,0.744184,0.905445,1.27758,1.61251,2.06318,0.2,-0.418381,0.119533,9.95346,2.9883477210998537
